Dataset,ROUGE-L,ROUGE-1,ROUGE-2
Booksum,0.152551383660012,0.36820624274609737,0.056700775492937186
Squality,0.1778637177305054,0.4265478444137636,0.09387470118926673
Qmsum,0.11650209388342342,0.2070170747551804,0.050086519388939654
