Dataset,ROUGE-L,ROUGE-1,ROUGE-2
Booksum,0.13831517954802772,0.3103621913397863,0.06298311524139161
Squality,0.19022565448031278,0.4232914620170977,0.10298704709961355
Qmsum,0.18421525712960432,0.3548007549515516,0.08031671386431458
